Rank,Release Group,Worldwide,Domestic,%,Foreign,%
741,Crepitus,"$4,846","$4,846",100%,-,-
742,Ballet Blanc,"$4,832","$4,832",100%,-,-
743,I'm Leaving Now,"$4,488","$4,488",100%,-,-
744,SGT. Will Gardner,"$4,405","$4,405",100%,-,-
745,Tito and the Birds,"$4,332","$4,332",100%,-,-
746,The Fate of Lee Khan,"$4,295","$4,295",100%,-,-
747,State Like Sleep,"$4,282","$4,282",100%,-,-
748,Chinese Portrait,"$4,140","$4,140",100%,-,-
749,La Flor,"$4,032","$4,032",100%,-,-
750,Mother of a Day,"$3,919","$3,919",100%,-,-
751,Crown Vic,"$3,868","$3,868",100%,-,-
752,Wallflower,"$3,801","$3,801",100%,-,-
753,The Wandering Soap Opera,"$3,624","$3,624",100%,-,-
754,Rottentail,"$3,383","$3,383",100%,-,-
755,Chasing Portraits,"$3,076","$3,076",100%,-,-
756,Back to the Fatherland,"$2,697","$2,697",100%,-,-
757,Division 19,"$2,680","$1,699",63.4%,$981,36.6%
758,Joan the Maid 1: The Battles,"$2,562","$2,562",100%,-,-
759,TINY: The Life of Erin Blackwell,"$2,465","$2,465",100%,-,-
760,I Lost Albert 2019 Re-release,"$2,354","$2,354",100%,-,-
761,A German Youth,"$2,343","$2,343",100%,-,-
762,Serendipity,"$2,298","$2,298",100%,-,-
763,Jihadists,"$2,104","$2,104",100%,-,-
764,Jimi Hendrix Electric Church,"$1,818",-,-,"$1,818",100%
765,Game Day,"$1,624","$1,624",100%,-,-
766,American Playhouse: The Killing Floor,"$1,583","$1,583",100%,-,-
767,The Hours and Times,"$1,273","$1,273",100%,-,-
768,The Wolf Hour,"$1,255",-,-,"$1,255",100%
769,A Fish in the Bathtub 2019 re-release,"$1,237","$1,237",100%,-,-
770,The Untold Story,$790,$790,100%,-,-
771,The Portal,$685,-,-,$685,100%
